dataset,Metric,test metric,mlflow_run_name,mlflow_run_id,mlflow_run_status,Seed,experiment_id,experiment_name,index,batch_size,lr,decoder,backbone,early_stop_patience,n_trials,partition_name,data_percentages,batch_size_selection,weight_decay,partition name,frozen_or_full_ft
kuro_siwo,Multiclass_Jaccard_Index,0.7027350068092346,kuro_siwo_mean_1829,8bf0b18e42534cfeb28c95c4d223b139,FINISHED,1829,352948250742384064,final_main_dofa_large_patch16_224,0,16,2.1734651841007975e-05,UNet,dofa_large_patch16_224,10.0,16,default,100,HPO,0.01,100%,full_ft
kuro_siwo,Multiclass_Jaccard_Index,0.696682870388031,kuro_siwo_mean_2007,8cf11995a0a041bf964f50e6a59208e3,FINISHED,2007,352948250742384064,final_main_dofa_large_patch16_224,0,16,2.1734651841007975e-05,UNet,dofa_large_patch16_224,10.0,16,default,100,HPO,0.01,100%,full_ft
kuro_siwo,Multiclass_Jaccard_Index,0.6902852058410645,kuro_siwo_mean_913,b478d9f5d81f421081d91948db7e9118,FINISHED,913,352948250742384064,final_main_dofa_large_patch16_224,0,16,2.1734651841007975e-05,UNet,dofa_large_patch16_224,10.0,16,default,100,HPO,0.01,100%,full_ft
kuro_siwo,Multiclass_Jaccard_Index,0.6930838823318481,kuro_siwo_mean_2254,f9d5eaef63694c96aefa64d6c0717971,FINISHED,2254,352948250742384064,final_main_dofa_large_patch16_224,0,16,2.1734651841007975e-05,UNet,dofa_large_patch16_224,10.0,16,default,100,HPO,0.01,100%,full_ft
kuro_siwo,Multiclass_Jaccard_Index,0.7017667293548584,kuro_siwo_mean_205,fb918750211d4607b77be91ac4386db3,FINISHED,205,352948250742384064,final_main_dofa_large_patch16_224,0,16,2.1734651841007975e-05,UNet,dofa_large_patch16_224,10.0,16,default,100,HPO,0.01,100%,full_ft
benv2,Multilabel_F1_Score,0.7661927342414856,benv2_913,93bfa5abd6624479a57f50dd7b652d89,FINISHED,913,187261838745675157,final_main_terramind_v1_large,0,32,1.6854640185950023e-05,UNet,terramind_v1_large,10.0,16,default,100,HPO,0.01,100%,full_ft
benv2,Multilabel_F1_Score,0.7627988457679749,benv2_2007,9ed47b3c62734b0885809c27f83ef0ea,FINISHED,2007,187261838745675157,final_main_terramind_v1_large,0,32,1.6854640185950023e-05,UNet,terramind_v1_large,10.0,16,default,100,HPO,0.01,100%,full_ft
benv2,Multilabel_F1_Score,0.7654047012329102,benv2_205,a72a8e86fbfe4f0aad0f04c844343b64,FINISHED,205,187261838745675157,final_main_terramind_v1_large,0,32,1.6854640185950023e-05,UNet,terramind_v1_large,10.0,16,default,100,HPO,0.01,100%,full_ft
benv2,Multilabel_F1_Score,0.7620870471000671,benv2_2254,bef1608c103b440c8127ecfabc902510,FINISHED,2254,187261838745675157,final_main_terramind_v1_large,0,32,1.6854640185950023e-05,UNet,terramind_v1_large,10.0,16,default,100,HPO,0.01,100%,full_ft
benv2,Multilabel_F1_Score,0.7664718627929688,benv2_1829,ee32af4990e64a7cb4eeaf0ee1878703,FINISHED,1829,187261838745675157,final_main_terramind_v1_large,0,32,1.6854640185950023e-05,UNet,terramind_v1_large,10.0,16,default,100,HPO,0.01,100%,full_ft
biomassters,RMSE,0.9600617068058296,biomassters_3709,0d6679e9363847a293d595f7036727a1,FINISHED,3709,187261838745675157,final_main_terramind_v1_large,0,16,3.5687963643724935e-05,UNet,terramind_v1_large,10.0,16,default,100,HPO,0.01,100%,full_ft
biomassters,RMSE,0.960075930313406,biomassters_2004,7c38d0013d9c4b739103ae70c72bae42,FINISHED,2004,187261838745675157,final_main_terramind_v1_large,0,16,3.5687963643724935e-05,UNet,terramind_v1_large,10.0,16,default,100,HPO,0.01,100%,full_ft
biomassters,RMSE,0.9600184425339132,biomassters_517,835f47675ee64b78a247c37581f0bbc6,FINISHED,517,187261838745675157,final_main_terramind_v1_large,0,16,3.5687963643724935e-05,UNet,terramind_v1_large,10.0,16,default,100,HPO,0.01,100%,full_ft
biomassters,RMSE,0.9599535499078812,biomassters_3212,d44f8450d0b644018b2fb7f3777a251c,FINISHED,3212,187261838745675157,final_main_terramind_v1_large,0,16,3.5687963643724935e-05,UNet,terramind_v1_large,10.0,16,default,100,HPO,0.01,100%,full_ft
biomassters,RMSE,0.9600944613389646,biomassters_2181,e357564f8040497c8b79637f5be1aaf3,FINISHED,2181,187261838745675157,final_main_terramind_v1_large,0,16,3.5687963643724935e-05,UNet,terramind_v1_large,10.0,16,default,100,HPO,0.01,100%,full_ft
treesatai,Multilabel_F1_Score,0.6434163451194763,treesatai_1829,2c9433a138bd4e54a59a843bb6097fb6,FINISHED,1829,602968560747083429,final_main_dofa_large_patch16_224,0,16,1.4856303554806574e-05,UNet,dofa_large_patch16_224,10.0,16,default,100,HPO,0.01,100%,full_ft
treesatai,Multilabel_F1_Score,0.6427352428436279,treesatai_913,5f8c37a366114e73afca33786775ec18,FINISHED,913,602968560747083429,final_main_dofa_large_patch16_224,0,16,1.4856303554806574e-05,UNet,dofa_large_patch16_224,10.0,16,default,100,HPO,0.01,100%,full_ft
treesatai,Multilabel_F1_Score,0.6456222534179688,treesatai_2254,7efd840abb6f439fb5fc51295ce4ad14,FINISHED,2254,602968560747083429,final_main_dofa_large_patch16_224,0,16,1.4856303554806574e-05,UNet,dofa_large_patch16_224,10.0,16,default,100,HPO,0.01,100%,full_ft
treesatai,Multilabel_F1_Score,0.6432837843894958,treesatai_205,80c571e4fa52436e9485732821a35d02,FINISHED,205,602968560747083429,final_main_dofa_large_patch16_224,0,16,1.4856303554806574e-05,UNet,dofa_large_patch16_224,10.0,16,default,100,HPO,0.01,100%,full_ft
treesatai,Multilabel_F1_Score,0.6295856237411499,treesatai_2007,914141bf92794bbd8e7635c0a12caecc,FINISHED,2007,602968560747083429,final_main_dofa_large_patch16_224,0,16,1.4856303554806574e-05,UNet,dofa_large_patch16_224,10.0,16,default,100,HPO,0.01,100%,full_ft
cloudsen12,Multiclass_Jaccard_Index,0.6083433628082275,cloudsen12_2007,0c7bfe38cdd9408b9a7c4ea368549d05,FINISHED,2007,602968560747083429,final_main_dofa_large_patch16_224,0,16,7.01219601133369e-05,UNet,dofa_large_patch16_224,10.0,16,default,100,HPO,0.01,100%,full_ft
cloudsen12,Multiclass_Jaccard_Index,0.6143325567245483,cloudsen12_913,193a0cb48eb442f4828c1b6bc26d6094,FINISHED,913,602968560747083429,final_main_dofa_large_patch16_224,0,16,7.01219601133369e-05,UNet,dofa_large_patch16_224,10.0,16,default,100,HPO,0.01,100%,full_ft
cloudsen12,Multiclass_Jaccard_Index,0.6288191080093384,cloudsen12_1829,6aa2aab0569d488cbbdd650fc3f6ee03,FINISHED,1829,602968560747083429,final_main_dofa_large_patch16_224,0,16,7.01219601133369e-05,UNet,dofa_large_patch16_224,10.0,16,default,100,HPO,0.01,100%,full_ft
cloudsen12,Multiclass_Jaccard_Index,0.6256763339042664,cloudsen12_205,abbbced195a345c484c4f81a6b9a3a41,FINISHED,205,602968560747083429,final_main_dofa_large_patch16_224,0,16,7.01219601133369e-05,UNet,dofa_large_patch16_224,10.0,16,default,100,HPO,0.01,100%,full_ft
cloudsen12,Multiclass_Jaccard_Index,0.5966204404830933,cloudsen12_2254,b392c01b01dc4cde8ee5871bf71bfe8f,FINISHED,2254,602968560747083429,final_main_dofa_large_patch16_224,0,16,7.01219601133369e-05,UNet,dofa_large_patch16_224,10.0,16,default,100,HPO,0.01,100%,full_ft
dynamic_earthnet,Multiclass_Jaccard_Index,0.2227849066257476,dynamic_earthnet_2007,274e7995347f47fa842330476948b6f8,FINISHED,2007,602968560747083429,final_main_dofa_large_patch16_224,0,8,0.0001225410111414,UNet,dofa_large_patch16_224,10.0,16,default,100,HPO,0.01,100%,full_ft
dynamic_earthnet,Multiclass_Jaccard_Index,0.1974807381629943,dynamic_earthnet_2254,5e45f39ec2dc45f5b37350653b93fdab,FINISHED,2254,602968560747083429,final_main_dofa_large_patch16_224,0,8,0.0001225410111414,UNet,dofa_large_patch16_224,10.0,16,default,100,HPO,0.01,100%,full_ft
dynamic_earthnet,Multiclass_Jaccard_Index,0.2498252987861633,dynamic_earthnet_1829,88d23a9ef15240c6a56d52f7884187bf,FINISHED,1829,602968560747083429,final_main_dofa_large_patch16_224,0,8,0.0001225410111414,UNet,dofa_large_patch16_224,10.0,16,default,100,HPO,0.01,100%,full_ft
dynamic_earthnet,Multiclass_Jaccard_Index,0.2542161047458648,dynamic_earthnet_205,bf867a28362c4b17a7bb54c8db19895a,FINISHED,205,602968560747083429,final_main_dofa_large_patch16_224,0,8,0.0001225410111414,UNet,dofa_large_patch16_224,10.0,16,default,100,HPO,0.01,100%,full_ft
