dataset,Metric,test metric,mlflow_run_name,mlflow_run_id,mlflow_run_status,Seed,experiment_id,experiment_name,index,batch_size,lr,decoder,backbone,early_stop_patience,n_trials,partition_name,data_percentages,batch_size_selection,weight_decay,partition name,frozen_or_full_ft
treesatai,Multilabel_F1_Score,0.533467710018158,treesatai_2254,56580badc99e4e8a86ab2948f755f811,FINISHED,2254,737026757421248203,final_ablation_frozen_dofa_large_patch16_224,0,32,0.0001188437010319,UNet,dofa_large_patch16_224,10,16,default,100,HPO,0.01,100%,frozen
treesatai,Multilabel_F1_Score,0.5345630645751953,treesatai_205,6289908900a64267ab23118b5cea3ba3,FINISHED,205,737026757421248203,final_ablation_frozen_dofa_large_patch16_224,0,32,0.0001188437010319,UNet,dofa_large_patch16_224,10,16,default,100,HPO,0.01,100%,frozen
treesatai,Multilabel_F1_Score,0.5319836735725403,treesatai_913,6efe436667fd41c1a27f537e375a7f28,FINISHED,913,737026757421248203,final_ablation_frozen_dofa_large_patch16_224,0,32,0.0001188437010319,UNet,dofa_large_patch16_224,10,16,default,100,HPO,0.01,100%,frozen
treesatai,Multilabel_F1_Score,0.5363507270812988,treesatai_2007,c98c4e7f359243e9a908bc17e3a2b7a4,FINISHED,2007,737026757421248203,final_ablation_frozen_dofa_large_patch16_224,0,32,0.0001188437010319,UNet,dofa_large_patch16_224,10,16,default,100,HPO,0.01,100%,frozen
treesatai,Multilabel_F1_Score,0.5414615869522095,treesatai_1829,fa0e88840b874f7db1b40eec1ff10a74,FINISHED,1829,737026757421248203,final_ablation_frozen_dofa_large_patch16_224,0,32,0.0001188437010319,UNet,dofa_large_patch16_224,10,16,default,100,HPO,0.01,100%,frozen
cloudsen12,Multiclass_Jaccard_Index,0.5917165875434875,cloudsen12_2007,4d2de12699794db0a91542fcd09c0996,FINISHED,2007,737026757421248203,final_ablation_frozen_dofa_large_patch16_224,0,32,0.0009308082827676,UNet,dofa_large_patch16_224,10,16,default,100,HPO,0.01,100%,frozen
cloudsen12,Multiclass_Jaccard_Index,0.5739129781723022,cloudsen12_2254,7451679b5a844f0eaa48cf2dbb7d9ba2,FINISHED,2254,737026757421248203,final_ablation_frozen_dofa_large_patch16_224,0,32,0.0009308082827676,UNet,dofa_large_patch16_224,10,16,default,100,HPO,0.01,100%,frozen
cloudsen12,Multiclass_Jaccard_Index,0.5764952301979065,cloudsen12_1829,ae49747a7863466faa5b180477fa84b4,FINISHED,1829,737026757421248203,final_ablation_frozen_dofa_large_patch16_224,0,32,0.0009308082827676,UNet,dofa_large_patch16_224,10,16,default,100,HPO,0.01,100%,frozen
cloudsen12,Multiclass_Jaccard_Index,0.5856391191482544,cloudsen12_205,b5ae8c5b43524413bb9417528387c980,FINISHED,205,737026757421248203,final_ablation_frozen_dofa_large_patch16_224,0,32,0.0009308082827676,UNet,dofa_large_patch16_224,10,16,default,100,HPO,0.01,100%,frozen
cloudsen12,Multiclass_Jaccard_Index,0.5829852819442749,cloudsen12_913,e510c696c39847f9b202cacb147387fc,FINISHED,913,737026757421248203,final_ablation_frozen_dofa_large_patch16_224,0,32,0.0009308082827676,UNet,dofa_large_patch16_224,10,16,default,100,HPO,0.01,100%,frozen
dynamic_earthnet,Multiclass_Jaccard_Index,0.2127626538276672,dynamic_earthnet_2254,0092305237a24df2bfafd417b3f2fafe,FINISHED,2254,737026757421248203,final_ablation_frozen_dofa_large_patch16_224,0,16,0.0009966560079596,UNet,dofa_large_patch16_224,10,16,default,100,HPO,0.01,100%,frozen
dynamic_earthnet,Multiclass_Jaccard_Index,0.2377989292144775,dynamic_earthnet_913,09e5f0ff1fc14e6eb668627d6fbfca86,FINISHED,913,737026757421248203,final_ablation_frozen_dofa_large_patch16_224,0,16,0.0009966560079596,UNet,dofa_large_patch16_224,10,16,default,100,HPO,0.01,100%,frozen
